2000;2200;36000;36000;18000;n.m;n.m;n.m
2200;2400;40000;40000;20000;n.m;n.m;n.m
2400;2600;44000;44000;22000;n.m;n.m;n.m
2600;2800;48000;48000;24000;n.m;n.m;n.m
2800;3000;51000;51000;25500;n.m;n.m;n.m
3000;3200;55000;55000;27500;18333;n.m;n.m
3200;3400;59000;59000;29500;19667;n.m;n.m
3400;3600;62000;62000;31000;20667;n.m;n.m
3600;3800;66000;66000;33000;22000;n.m;n.m
3800;4000;69000;69000;34500;23000;n.m;n.m
4000;4200;73000;n.m;36500;24333;n.m;n.m
4200;4400;76000;n.m;38000;25333;19000;n.m
4400;4600;79000;n.m;39500;26333;19750;n.m
4600;4800;83000;n.m;41500;27667;20750;n.m
4800;5000;87000;n.m;43500;29000;21750;n.m
5000;5500;93000;n.m;46500;31000;23250;n.m
5500;6000;102000;n.m;51000;34000;25500;20400
6000;6500;111000;n.m;55500;37000;27750;22200
6500;7000;120000;n.m;60000;40000;30000;24000
7000;7500;129000;n.m;64500;43000;32250;25800
7500;8000;138000;n.m;69000;46000;34500;27600
8000;8500;147000;n.m;n.m;49000;36750;29400
8500;9000;156000;n.m;n.m;52000;39000;31200
9000;9500;167000;n.m;n.m;55667;41750;33400
9500;10000;173000;n.m;n.m;57667;43250;34600
10000;10500;182000;n.m;n.m;60667;45500;36400
10500;11000;191000;n.m;n.m;63667;47750;38200
11000;11500;199000;n.m;n.m;66333;49750;39800
11500;12000;209000;n.m;n.m;69667;52250;41800
12000;12500;218000;n.m;n.m;n.m;54500;43600
12500;13000;227000;n.m;n.m;n.m;56750;45400
13000;13500;235000;n.m;n.m;n.m;58750;47000
13500;14000;244000;n.m;n.m;n.m;61000;48800
14000;14500;253000;n.m;n.m;n.m;63250;50600
14500;15000;262000;n.m;n.m;n.m;65500;52400
15000;15500;271000;n.m;n.m;n.m;67750;54200
15500;16000;279000;n.m;n.m;n.m;69750;55800
16000;16500;289000;n.m;n.m;n.m;n.m;57800
16500;17000;297000;n.m;n.m;n.m;n.m;59400
17000;17500;306000;n.m;n.m;n.m;n.m;61200
17500;18000;315000;n.m;n.m;n.m;n.m;63000
18000;18500;324000;n.m;n.m;n.m;n.m;64800
18500;19000;333000;n.m;n.m;n.m;n.m;66600
19000;19500;342000;n.m;n.m;n.m;n.m;68400
19500;20001;351000;n.m;n.m;n.m;n.m;70200
